run_id,seed,param_name,param_value,n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,time_s,best_length,hist_path,tour_path
0,53794915,n_gen,100,80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,9.174609184265137,294934.73769399023,results_demo\hist_0.json,results_demo\tour_0.json
1,53804097,n_gen,100,80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,8.857736349105835,303563.06416214444,results_demo\hist_1.json,results_demo\tour_1.json
2,53812962,n_gen,100,80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,8.796348094940186,275675.31546776573,results_demo\hist_2.json,results_demo\tour_2.json
3,53821762,n_gen,300,80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,22.938448429107666,154248.05726811764,results_demo\hist_3.json,results_demo\tour_3.json
4,53844707,n_gen,300,80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,18.771918296813965,150282.54509130467,results_demo\hist_4.json,results_demo\tour_4.json
5,53863481,n_gen,300,80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,18.62607717514038,150626.831325928,results_demo\hist_5.json,results_demo\tour_5.json
6,53882116,n_gen,600,80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,38.97216081619263,131357.28812768648,results_demo\hist_6.json,results_demo\tour_6.json
7,53921094,n_gen,600,80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,38.235981702804565,130380.94750793891,results_demo\hist_7.json,results_demo\tour_7.json
8,53959336,n_gen,600,80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,38.32650899887085,126089.36123336236,results_demo\hist_8.json,results_demo\tour_8.json
9,53997672,n_gen,1200,80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,77.51543664932251,125208.15217526643,results_demo\hist_9.json,results_demo\tour_9.json
10,54075197,n_gen,1200,80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,74.51966762542725,123635.36279928761,results_demo\hist_10.json,results_demo\tour_10.json
11,54149726,n_gen,1200,80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,76.88998651504517,122762.63142381022,results_demo\hist_11.json,results_demo\tour_11.json
12,54226625,n_pop,50,50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,8.689278364181519,217293.27292649908,results_demo\hist_12.json,results_demo\tour_12.json
13,54235321,n_pop,50,50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,8.00022292137146,189454.39666632688,results_demo\hist_13.json,results_demo\tour_13.json
14,54243324,n_pop,50,50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,7.951914310455322,205456.1937520687,results_demo\hist_14.json,results_demo\tour_14.json
15,54251287,n_pop,100,100,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,16.277733325958252,211153.65324462616,results_demo\hist_15.json,results_demo\tour_15.json
16,54267571,n_pop,100,100,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,15.802797317504883,200019.18145349494,results_demo\hist_16.json,results_demo\tour_16.json
17,54283377,n_pop,100,100,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,16.433753490447998,231837.56969333286,results_demo\hist_17.json,results_demo\tour_17.json
18,54299819,n_pop,200,200,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,33.55169320106506,224611.01466909386,results_demo\hist_18.json,results_demo\tour_18.json
19,54333376,n_pop,200,200,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,32.55168867111206,248558.8971698475,results_demo\hist_19.json,results_demo\tour_19.json
20,54365932,n_pop,200,200,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,31.904762983322144,250163.7585294413,results_demo\hist_20.json,results_demo\tour_20.json
21,54397844,n_pop,400,400,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,64.16355729103088,339619.719977366,results_demo\hist_21.json,results_demo\tour_21.json
22,54462013,n_pop,400,400,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,63.668652057647705,307278.4413176085,results_demo\hist_22.json,results_demo\tour_22.json
23,54525687,n_pop,400,400,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,63.61795663833618,283806.7277375828,results_demo\hist_23.json,results_demo\tour_23.json
24,54589313,p_mut,0.01,80,200,0.01,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.547240972518921,194176.50953767868,results_demo\hist_24.json,results_demo\tour_24.json
25,54602866,p_mut,0.01,80,200,0.01,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.242359399795532,209265.22290169148,results_demo\hist_25.json,results_demo\tour_25.json
26,54616112,p_mut,0.01,80,200,0.01,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.553247690200806,198585.6995307497,results_demo\hist_26.json,results_demo\tour_26.json
27,54629684,p_mut,0.03,80,200,0.03,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.94756531715393,223811.8016674049,results_demo\hist_27.json,results_demo\tour_27.json
28,54642636,p_mut,0.03,80,200,0.03,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.22484564781189,206098.23506489364,results_demo\hist_28.json,results_demo\tour_28.json
29,54655865,p_mut,0.03,80,200,0.03,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.926939725875854,186415.4316901022,results_demo\hist_29.json,results_demo\tour_29.json
30,54668799,p_mut,0.07,80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.294363021850586,195597.87541639106,results_demo\hist_30.json,results_demo\tour_30.json
31,54682101,p_mut,0.07,80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.020448446273804,222306.76821931687,results_demo\hist_31.json,results_demo\tour_31.json
32,54696127,p_mut,0.07,80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.09007716178894,206519.4698138703,results_demo\hist_32.json,results_demo\tour_32.json
33,54709231,p_mut,0.15,80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.325447797775269,238171.76740351075,results_demo\hist_33.json,results_demo\tour_33.json
34,54722568,p_mut,0.15,80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.78496265411377,221126.8479492026,results_demo\hist_34.json,results_demo\tour_34.json
35,54735357,p_mut,0.15,80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.962644338607788,221064.51662796765,results_demo\hist_35.json,results_demo\tour_35.json
36,54748328,p_cx,0.6,80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.179967164993286,177018.9676322159,results_demo\hist_36.json,results_demo\tour_36.json
37,54761515,p_cx,0.6,80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.53416895866394,183139.41780326725,results_demo\hist_37.json,results_demo\tour_37.json
